LEVEL,R_BITS,T1,decoder,nflips,av_errors_left,max_errors_left,n_tests
1,11401,134,PickyFix,125,0.000100,1.000000,10000
1,11401,134,PickyFix,130,0.000000,0.000000,10000
1,11501,134,BGF,NA,66.857100,93.000000,10000
1,11501,134,PickyFix,5,8.190200,50.000000,10000
1,11501,134,PickyFix,10,2.321300,24.000000,10000
1,11501,134,PickyFix,15,0.455000,18.000000,10000
1,11501,134,PickyFix,20,0.030500,6.000000,10000
1,11501,134,PickyFix,25,0.003100,5.000000,10000
1,11501,134,PickyFix,30,0.000300,1.000000,10000
1,11501,134,PickyFix,35,0.000000,0.000000,10000
1,11501,134,PickyFix,40,0.000000,0.000000,10000
1,11501,134,PickyFix,45,0.000000,0.000000,10000
1,11501,134,PickyFix,50,0.000000,0.000000,10000
1,11501,134,PickyFix,55,0.000000,0.000000,10000
1,11501,134,PickyFix,60,0.000000,0.000000,10000
1,11501,134,PickyFix,65,0.000000,0.000000,10000
1,11501,134,PickyFix,70,0.000000,0.000000,10000
1,11501,134,PickyFix,75,0.000000,0.000000,10000
1,11501,134,PickyFix,80,0.000000,0.000000,10000
1,11501,134,PickyFix,85,0.000000,0.000000,10000
1,11501,134,PickyFix,90,0.000000,0.000000,10000
1,11501,134,PickyFix,95,0.000000,0.000000,10000
1,11501,134,PickyFix,100,0.000000,0.000000,10000
1,11501,134,PickyFix,105,0.000000,0.000000,10000
1,11501,134,PickyFix,110,0.000000,0.000000,10000
1,11501,134,PickyFix,115,0.000000,0.000000,10000
1,11501,134,PickyFix,120,0.000000,0.000000,10000
1,11501,134,PickyFix,125,0.000000,0.000000,10000
1,11501,134,PickyFix,130,0.000000,0.000000,10000
1,9501,134,BGF,NA,154.556900,287.000000,10000
1,9501,134,PickyFix,5,228.522200,345.000000,10000
1,9501,134,PickyFix,10,220.046600,334.000000,10000
1,9501,134,PickyFix,15,205.645300,333.000000,10000
1,9501,134,PickyFix,20,203.970500,323.000000,10000
1,9501,134,PickyFix,25,193.155000,329.000000,10000
1,9501,134,PickyFix,30,191.513400,334.000000,10000
1,9501,134,PickyFix,35,193.341000,330.000000,10000
1,9501,134,PickyFix,40,193.828900,332.000000,10000
1,9501,134,PickyFix,45,196.080000,330.000000,10000
1,9501,134,PickyFix,50,198.861000,330.000000,10000
1,9501,134,PickyFix,55,202.891600,333.000000,10000
1,9501,134,PickyFix,60,206.390800,350.000000,10000
1,9501,134,PickyFix,65,211.364700,351.000000,10000
1,9501,134,PickyFix,70,216.576800,343.000000,10000
1,9501,134,PickyFix,75,221.963600,353.000000,10000
1,9501,134,PickyFix,80,227.887800,358.000000,10000
1,9501,134,PickyFix,85,233.904400,366.000000,10000
1,9501,134,PickyFix,90,238.708600,373.000000,10000
1,9501,134,PickyFix,95,242.724600,362.000000,10000
1,9501,134,PickyFix,100,247.851600,373.000000,10000
1,9501,134,PickyFix,105,252.816400,393.000000,10000
1,9501,134,PickyFix,110,257.362300,386.000000,10000
1,9501,134,PickyFix,115,260.705500,416.000000,10000
1,9501,134,PickyFix,120,264.551800,390.000000,10000
1,9501,134,PickyFix,125,268.898500,397.000000,10000
1,9501,134,PickyFix,130,272.809100,411.000000,10000
1,9601,134,BGF,NA,130.017200,236.000000,10000
1,9601,134,PickyFix,5,190.892900,296.000000,10000
1,9601,134,PickyFix,10,177.463600,286.000000,10000
1,9601,134,PickyFix,15,161.524300,279.000000,10000
1,9601,134,PickyFix,20,159.528500,276.000000,10000
1,9601,134,PickyFix,25,151.231700,279.000000,10000
1,9601,134,PickyFix,30,146.637200,265.000000,10000
1,9601,134,PickyFix,35,146.966500,280.000000,10000
